year	plot_num	date_collected	species	sex 	weight	note
2014	01	2014-01-09	DM	M	40	
2014	01	2014-01-09	DM	F	36	
2014	01	2014-03-13	DM	F	51	
2014	01	2014-03-13	DM	F	44	
2014	01	2014-03-13	DS	F	146	
2014	02	2014-01-08	NA	null	null	
2014	02	2014-01-08	DM	M	44	
2014	02	2014-01-08	PF	F	7	
2014	02	2014-01-08	DM	M	45	
2014	02	2014-01-08	OT	null	null	
2014	02	2014-01-08	DS	M	157	bad_calibration
2014	02	2014-01-08	OX	null	null	
2014	02	2014-02-18	NA	M	218	bad_calibration
2014	02	2014-02-18	PF	F	7	
2014	02	2014-02-18	DM	M	52	
2014	03	2014-03-11	PF	M	8	
2014	03	2014-04-08	NA	F	null	
2014	03	2014-05-06	null	null	null	
2014	03	2014-05-18	NA	F	182	
2014	03	2014-06-09	OT	F	29	
2014	03	2014-07-08	NA	F	115	
2014	03	2014-07-08	NA	M	190	
1978	04	1978-01-08	DM	F	37	
1978	04	1978-01-08	DM	M	null	
1978	04	1978-01-08	DM	F	48	
1978	04	1978-01-08	DO	M	52	
1978	04	1978-01-08	OL	M	35	
2013	02	2013-07-16	DM	F	null	
2013	07	2013-07-16	DM	M	33	
2013	03	2013-07-16	DM	M	null	
2013	01	2013-07-16	DM	M	null	
2013	03	2013-07-16	DM	M	40	
2013	07	2013-07-16	DM	M	48	
2013	04	2013-07-16	DM	F	29	
2013	06	2013-07-16	DM	F	37	
2013	08	2013-08-19	DO	F	52	
2013	03	2013-10-17	DO	F	33	
2013	03	2013-10-17	DO	F	50	
2013	09	2013-12-10	DO	F	40	
2013	01	2013-12-10	DO	M	45	
2013	08	2013-12-11	DO	F	41	
2013	09	2013-11-12	DS	F	117	
2013	11	2013-11-12	DS	F	126	
2013	17	2013-11-12	DS	M	132	bad_calibration
2013	14	2013-11-12	DS	F	113	bad_calibration
2013	11	2013-11-12	DS	F	122	
2013	04	2013-11-12	DS	F	107	
2013	04	2013-11-12	DS	F	115	
